Tags	Asker Reputation	Asker Id	User type	Profile Image	Asker Name	Link to Asker	Is Answered	View Count	Answer Count	Score	last_activity_date	creation_date	Question Id	link	Title	Answerer reputation	Answerer Id	Answerer user_type	Answerer accept rate	Answerer profile_image	Answerer Name	Answerer link	Is Accepted	Answerer score	last_activity_date	last_edit_date	creation_date	Answer_id	Question_id
['c#', '.net', '.net-core']	4455	1840823	registered	https://i.stack.imgur.com/e57C0.jpg?s=128&g=1	Casey Crookston	https://stackoverflow.com/users/1840823/casey-crookston	False	31	3	-1	1573109553	1573106900	58742865	https://stackoverflow.com/questions/58742865/multiple-get-methods-with-a-single-parameter-result-in-ambiguousmatchexception	Multiple GET() methods with a single parameter result in AmbiguousMatchException: The request matched multiple endpoints	1314	420587	registered	83	https://www.gravatar.com/avatar/53e705566dc417701a77aac8b30d91d6?s=128&d=identicon&r=PG	Georgi Georgiev	https://stackoverflow.com/users/420587/georgi-georgiev	False	-1	1573109553	1573109553	1573108931	58743264	58742865
['c#', '.net', '.net-core']	4455	1840823	registered	https://i.stack.imgur.com/e57C0.jpg?s=128&g=1	Casey Crookston	https://stackoverflow.com/users/1840823/casey-crookston	False	31	3	-1	1573109553	1573106900	58742865	https://stackoverflow.com/questions/58742865/multiple-get-methods-with-a-single-parameter-result-in-ambiguousmatchexception	Multiple GET() methods with a single parameter result in AmbiguousMatchException: The request matched multiple endpoints	803	2474694	registered	N/A	https://www.gravatar.com/avatar/3feebe9056b70e07af85fd9398987ad9?s=128&d=identicon&r=PG	User965207	https://stackoverflow.com/users/2474694/user965207	False	-1	1573108222	N/A	1573108222	58743134	58742865
['c#', '.net', '.net-core']	4455	1840823	registered	https://i.stack.imgur.com/e57C0.jpg?s=128&g=1	Casey Crookston	https://stackoverflow.com/users/1840823/casey-crookston	False	31	3	-1	1573109553	1573106900	58742865	https://stackoverflow.com/questions/58742865/multiple-get-methods-with-a-single-parameter-result-in-ambiguousmatchexception	Multiple GET() methods with a single parameter result in AmbiguousMatchException: The request matched multiple endpoints	6001	1678053	registered	60	https://i.stack.imgur.com/Tt3Jc.jpg?s=128&g=1	gldraphael	https://stackoverflow.com/users/1678053/gldraphael	False	-1	1573107027	N/A	1573107027	58742883	58742865
['c#', '.net', 'dllimport']	6	12248993	registered	https://www.gravatar.com/avatar/5c3b34220bbfa09aea49b415c05489a8?s=128&d=identicon&r=PG&f=1	bpoom za	https://stackoverflow.com/users/12248993/bpoom-za	False	11	1	0	1573109474	1573108928	58743261	https://stackoverflow.com/questions/58743261/dll-is-missing-right-after-publishing-it-net-winforms	Dll is missing right after publishing it. .net WinForms	20018	2118383	registered	65	https://i.stack.imgur.com/GGDXE.jpg?s=128&g=1	Vignesh Kumar A	https://stackoverflow.com/users/2118383/vignesh-kumar-a	False	0	1573109474	N/A	1573109474	58743357	58743261
['c#', 'asp.net', '.net', 'json', 'asp.net-mvc']	1475	3858689	registered	https://www.gravatar.com/avatar/c24067910960e39dab4d8364b81a0c8a?s=128&d=identicon&r=PG&f=1	KidCode	https://stackoverflow.com/users/3858689/kidcode	True	48659	6	45	1573109222	1436036521	31224206	https://stackoverflow.com/questions/31224206/predefined-type-system-object-is-not-defined-or-imported-net-4-6	Predefined type &#39;System.Object&#39; is not defined or imported .net 4.6	19	2571791	registered	N/A	https://www.gravatar.com/avatar/70c4325c3c4af740d0a8a62b04e2f634?s=128&d=identicon&r=PG&f=1	shailesh M	https://stackoverflow.com/users/2571791/shailesh-m	False	0	1573109222	N/A	1573109222	58743319	31224206
['c#', 'asp.net', '.net', 'json', 'asp.net-mvc']	1475	3858689	registered	https://www.gravatar.com/avatar/c24067910960e39dab4d8364b81a0c8a?s=128&d=identicon&r=PG&f=1	KidCode	https://stackoverflow.com/users/3858689/kidcode	True	48659	6	45	1573109222	1436036521	31224206	https://stackoverflow.com/questions/31224206/predefined-type-system-object-is-not-defined-or-imported-net-4-6	Predefined type &#39;System.Object&#39; is not defined or imported .net 4.6	1242	1093228	registered	66	https://i.stack.imgur.com/RRlfa.jpg?s=128&g=1	Navid_pdp11	https://stackoverflow.com/users/1093228/navid-pdp11	False	15	1535193772	N/A	1535193772	52016488	31224206
['c#', 'asp.net', '.net', 'json', 'asp.net-mvc']	1475	3858689	registered	https://www.gravatar.com/avatar/c24067910960e39dab4d8364b81a0c8a?s=128&d=identicon&r=PG&f=1	KidCode	https://stackoverflow.com/users/3858689/kidcode	True	48659	6	45	1573109222	1436036521	31224206	https://stackoverflow.com/questions/31224206/predefined-type-system-object-is-not-defined-or-imported-net-4-6	Predefined type &#39;System.Object&#39; is not defined or imported .net 4.6	11	5717181	registered	N/A	https://lh5.googleusercontent.com/-m3L7Z7AVyzc/AAAAAAAAAAI/AAAAAAAAAAA/Fl-viAot48c/photo.jpg?sz=128	Sarah Wessel	https://stackoverflow.com/users/5717181/sarah-wessel	False	0	1522776731	N/A	1522776731	49636012	31224206
['c#', 'asp.net', '.net', 'json', 'asp.net-mvc']	1475	3858689	registered	https://www.gravatar.com/avatar/c24067910960e39dab4d8364b81a0c8a?s=128&d=identicon&r=PG&f=1	KidCode	https://stackoverflow.com/users/3858689/kidcode	True	48659	6	45	1573109222	1436036521	31224206	https://stackoverflow.com/questions/31224206/predefined-type-system-object-is-not-defined-or-imported-net-4-6	Predefined type &#39;System.Object&#39; is not defined or imported .net 4.6	717	4990859	registered	88	https://www.gravatar.com/avatar/99c7cab32cb6deece3292c33b611da50?s=128&d=identicon&r=PG&f=1	gneric	https://stackoverflow.com/users/4990859/gneric	False	38	1520866624	N/A	1520866624	49238274	31224206
['c#', 'asp.net', '.net', 'json', 'asp.net-mvc']	1475	3858689	registered	https://www.gravatar.com/avatar/c24067910960e39dab4d8364b81a0c8a?s=128&d=identicon&r=PG&f=1	KidCode	https://stackoverflow.com/users/3858689/kidcode	True	48659	6	45	1573109222	1436036521	31224206	https://stackoverflow.com/questions/31224206/predefined-type-system-object-is-not-defined-or-imported-net-4-6	Predefined type &#39;System.Object&#39; is not defined or imported .net 4.6	7907	15349	registered	89	https://www.gravatar.com/avatar/d31c743145ddaa5b8ff103815078445b?s=128&d=identicon&r=PG	Peter	https://stackoverflow.com/users/15349/peter	False	3	1456227435	N/A	1456227435	35576529	31224206
['c#', 'asp.net', '.net', 'json', 'asp.net-mvc']	1475	3858689	registered	https://www.gravatar.com/avatar/c24067910960e39dab4d8364b81a0c8a?s=128&d=identicon&r=PG&f=1	KidCode	https://stackoverflow.com/users/3858689/kidcode	True	48659	6	45	1573109222	1436036521	31224206	https://stackoverflow.com/questions/31224206/predefined-type-system-object-is-not-defined-or-imported-net-4-6	Predefined type &#39;System.Object&#39; is not defined or imported .net 4.6	11994	547640	registered	80	https://www.gravatar.com/avatar/c4b225b23e824b87350647be70b5c44c?s=128&d=identicon&r=PG	Karl-Johan Sj&#246;gren	https://stackoverflow.com/users/547640/karl-johan-sj%c3%b6gren	True	2	1436038440	N/A	1436038440	31224444	31224206
