Asker Id	Answerer Id
1840823	420587
1840823	2474694
1840823	1678053
12248993	2118383
3858689	2571791
3858689	1093228
3858689	5717181
3858689	4990859
3858689	15349
3858689	547640
1444358	536221
12185934	77884
933433	9083094
1840823	418729
2836246	2644664
5912557	11790221
105937	494635
105937	148657
105937	148657
105937	1109689
105937	1371188
105937	8813822
105937	2608448
105937	10341511
105937	41403
105937	4972314
105937	3902220
1149328	581076
1149328	23354
1149328	1149328
546220	1771539
546220	6544091
546220	1814859
546220	2565094
546220	944560
546220	4714
546220	993745
546220	301552
4801362	7609093
2461	6526663
2461	850848
2461	12845
2461	10262
2461	19032
2461	47733
2461	50776
4024800	8173870
1628789	3968736
1628789	1958681
1628789	400547
1628789	446519
1628789	464879
1628789	1336654
1628789	156695
5159468	5038208
5159468	2459290
12185887	8367626
12185887	3110834
247597	3095784
247597	568289
10057483	7814710
10057483	3829417
12324414	1554116
12332492	12332492
4805491	4805491
11068471	1139830
11317519	3093731
11317519	10504999
11317519	5751404
6273178	2583352
6273178	29407
7685247	2684353
7685247	7685247
7685247	2704659
7685247	993547
4795110	5560814
303685	5718868
303685	793036
303685	2597991
303685	4550962
303685	7385487
303685	2942659
303685	663246
303685	3651622
303685	11635
303685	4561177
303685	965738
303685	661109
303685	2385108
303685	2697556
303685	1432407
303685	5165273
303685	4744390
303685	4389887
303685	384478
303685	268066
1768	54289
1768	1768
1768	397639
1768	12845
1768	33264
1768	26507
1768	19314
1768	50776
2316152	8662608
2316152	1202807
2316152	2423288
12210741	10585526
1554876	7264620
162462	612702
162462	20862
162462	1170574
93	22656
93	1509
93	4959238
93	38670
93	8155
93	972264
10574098	10574098
7774396	7774396
7774396	21567
1161703	1991643
1161703	769678
1161703	9179521
1161703	2597706
1161703	2559126
1161703	3404841
12332784	12052112
1187736	1841839
1617005	1065818
1617005	3662425
1617005	12188799
1617005	2896332
174375	22656
8517918	2181397
8517918	4377430
11665578	541877
205859	2743236
205859	3895341
205859	363437
205859	139300
205859	328848
205859	642440
205859	444118
205859	276994
205859	338645
205859	675502
205859	272958
205859	249933
1108314	4572240
1108314	7064992
1108314	3908810
1108314	1370311
1108314	1339453
1108314	556595
1108314	58880
1108314	227436
1108314	2661158
1108314	813901
1108314	621316
1108314	1257110
1108314	1296733
1108314	2908254
1108314	401388
1108314	983169
1108314	1345535
1108314	17034
1108314	823599
30674	236905
30674	3367974
30674	33236
30674	169492
30674	1583
30674	181197
30674	352898
30674	383426
30674	5363
3252679	12332727
3252679	266143
3252679	707458
6105316	1367090
6105316	120783
11644268	1838048
7314737	9898643
7314737	11025476
2425071	123834
2425071	2533772
2425071	1195080
2425071	121309
2425071	1837731
2425071	1342496
2425071	327395
2425071	1786428
8532362	1051784
8532362	11873310
8532362	3679870
8532362	4337436
225480	1874522
225480	225480
3890835	1889491
3191599	12170498
3191599	3980824
3191599	5486
3191599	7262434
3191599	5407323
3191599	190831
3191599	1646116
3191599	68940
3191599	1447389
3191599	3191599
22687	5427499
22687	25714
22687	445
82	10887260
82	831721
82	532616
82	190271
82	1052403
82	2052085
82	12725
82	804385
82	968969
82	858343
82	61883
82	57135
13442	9574234
13442	5546869
13442	57883
13442	4773983
13442	2061604
13442	2615152
13442	397913
13442	235288
13442	40348
13442	19707
1025407	1025407
1025407	6508058
1025407	2390175
2140331	9665021
47672	193178
47672	1583927
12200599	12200599
638311	10091607
4593991	1838048
957858	4355889
957858	874888
12141169	11178549
447105	59303
447105	4033794
447105	92371
447105	9038080
447105	353147
447105	3480261
447105	204692
447105	98713
447105	175308
447105	1140388
447105	319711
447105	11249
447105	661761
447105	3857
1699169	10753720
1699169	318501
1280984	8588804
1280984	6788654
1280984	8588804
1280984	6025744
1280984	1060928
118584	833921
118584	8125742
118584	7199922
118584	947530
118584	1663919
118584	219661
12326334	850848
12326334	3346583
11272124	800524
11272124	11178549
314661	12031933
314661	3417858
314661	3832970
314661	1292530
314661	787016
314661	1484320
314661	1414028
314661	91
314661	2975
1173307	111604
12129199	8198946
2560240	5931106
2560240	46942
2560240	103617
2560240	1614233
2560240	2037787
2560240	3353328
2560240	1430492
2616919	6049604
10886582	1166774
33	35
33	39
1410658	11261776
1410658	444610
12129435	12129435
12129435	5754601
12129435	490170
8193977	9412162
4965491	8919783
9723014	4857601
12327533	9664317
12327533	9412162
2443011	6265620
12187145	5751404
496949	412770
496949	471007
496949	66887
496949	501459
496949	179972
496949	542821
496949	16076
8012407	10091607
8012407	3726963
27703	1818960
27703	204699
1159674	93733
1159674	1425903
